Discogs ID,Artist,Title,Year,Genre,Format,Cover URL,Thumb URL
2291464,Joe Cocker,With A Little Help From My Friends,1971,Rock,Vinyl,https://i.discogs.com/AyaClmkUJ_q5ik31d2sHwbEjSmAbvfIFgGeIn3uOK68/rs:fit/g:sm/q:90/h:500/w:500/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTIyOTE0/NjQtMTI3NDgyMDc2/My5qcGVn.jpeg,https://i.discogs.com/bG5g2lvgLnv97zG7XgMsE2d_G2xJq0gB0cR6DK2DQMk/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTIyOTE0/NjQtMTI3NDgyMDc2/My5qcGVn.jpeg
97230,Yazoo,Upstairs At Eric's,1982,Electronic,Vinyl,https://i.discogs.com/GhkWChE7Hf4J8d7wJQ3EqfGx574OZejutjOEGL__yFM/rs:fit/g:sm/q:90/h:603/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTk3MjMw/LTE1Mjg1NjEwMTYt/NTg4Mi5qcGVn.jpeg,https://i.discogs.com/h3Gcr9f2pLM2Vn0wL462tt5E-8zRp6yjh6kd9qOy_88/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTk3MjMw/LTE1Mjg1NjEwMTYt/NTg4Mi5qcGVn.jpeg
34622,Dynamic Syncopation,In The Red,2002,Hip Hop,Vinyl,https://i.discogs.com/aEcuVAvabTzIZ4nTMDs4M9nIEI8DQxMuB1V9BJlSUeA/rs:fit/g:sm/q:90/h:430/w:426/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTM0NjIy/LTExMjE1MTU4NDcu/anBn.jpeg,https://i.discogs.com/VfHMvGScqllWslFP_svpgYTj80sq83L_TFKZFczgB_w/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTM0NjIy/LTExMjE1MTU4NDcu/anBn.jpeg
2578939,Los,Under The Dragons Wings,2007,Rock,Vinyl,https://i.discogs.com/R26ufLUNdSPWGLhtWsfDzI6Xx7ynLQTHhUU-x3PufJw/rs:fit/g:sm/q:90/h:516/w:516/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTI1Nzg5/MzktMTQ4NjI2MjQ3/Ni02ODIzLmpwZWc.jpeg,https://i.discogs.com/Nz60IDaG5W4ZIZ9VwAio_1qeqTXySLDuDFajM2HuB6M/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTI1Nzg5/MzktMTQ4NjI2MjQ3/Ni02ODIzLmpwZWc.jpeg
2578932,Los,Ba Ba Ba,2008,Rock,Vinyl,https://i.discogs.com/g4QyK9PgSdoiovbqaHeau3CnCULM7xTFMPfivHy6m7g/rs:fit/g:sm/q:90/h:600/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTI1Nzg5/MzItMTQ4NjI2MjYw/Ni05NDYwLmpwZWc.jpeg,https://i.discogs.com/9VoR6Yfh9AuXZpYU1aq3ToOrekvnWhhQC3q_GCpVymE/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTI1Nzg5/MzItMTQ4NjI2MjYw/Ni05NDYwLmpwZWc.jpeg
6221719,The Beatles,Revolver,2010,Rock,Vinyl,https://i.discogs.com/qI1-6rO-Qu5wboVstdY1bByakcGGTWK4-i6syN3kH-c/rs:fit/g:sm/q:90/h:600/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTYyMjE3/MTktMTQxNDA3NTgw/My0zMDA1LmpwZWc.jpeg,https://i.discogs.com/w9Xfg4BoLJdwJipl-IwBy5kDdmz4CYWuk3AyQQ6-WlM/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTYyMjE3/MTktMTQxNDA3NTgw/My0zMDA1LmpwZWc.jpeg
1067532,Babyshambles,Delivery,2007,Rock,Vinyl,https://i.discogs.com/qSwHAhlGDJpEPFcNK81pOPniL6qf77KTMocJ0sPlGTI/rs:fit/g:sm/q:90/h:600/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTEwNjc1/MzItMTIwMzc5NzQ0/Ni5qcGVn.jpeg,https://i.discogs.com/zxOeujm3-PK8ESJswVuNV4rzdeLKTub31LUVhQ8apMk/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTEwNjc1/MzItMTIwMzc5NzQ0/Ni5qcGVn.jpeg
4953644,The Beatles,A Hard Day's Night,1964,Rock,Vinyl,https://i.discogs.com/E0d3Hqblw-xCaFr60c2Z-yetYRxx2fcQ4dD9AHfOd9o/rs:fit/g:sm/q:90/h:595/w:593/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTQ5NTM2/NDQtMTM5MTY5NTg1/Ni0xNTE0LmpwZWc.jpeg,https://i.discogs.com/kAUbA0aHglMyWmsCaXHNs4gl_S9HbthICHS25m-Fkv4/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTQ5NTM2/NDQtMTM5MTY5NTg1/Ni0xNTE0LmpwZWc.jpeg
375379,The Beatles,Rubber Soul,1965,Rock,Vinyl,https://i.discogs.com/Q1st7EjUitoS6AIlFvHVc4tgauI8ZRtx2Mh4ASKKBQ0/rs:fit/g:sm/q:90/h:600/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTM3NTM3/OS0xMzY0Mzk0NzU4/LTYyMjQuanBlZw.jpeg,https://i.discogs.com/CfJYPq0D4AEE1NYn85L2G0eAHO36AvS3MBeazMS60Lc/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTM3NTM3/OS0xMzY0Mzk0NzU4/LTYyMjQuanBlZw.jpeg
1345188,Coldplay,Violet Hill,2008,Rock,Vinyl,https://i.discogs.com/pbhBLpasgQ_bAeAz8MwbFKC3GsqFlDJ2gBOJL84F03k/rs:fit/g:sm/q:90/h:600/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTEzNDUx/ODgtMTMwNTIyMTg1/NS5qcGVn.jpeg,https://i.discogs.com/g8QXsWf9aZ4DhFYJLPSuQr4Z3iHf4vJmMlf1w7XK8JI/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTEzNDUx/ODgtMTMwNTIyMTg1/NS5qcGVn.jpeg
